Opção,Ano,Categoria,Cultivar,Quantidade(Kg.)
Viniferas,1970,TINTAS,-,10.448.228
Viniferas,1970,TINTAS,Alicante Bouschet,-
Viniferas,1970,TINTAS,Ancelota,-
Viniferas,1970,TINTAS,Aramon,-
Viniferas,1970,TINTAS,Alfrocheiro,-
Viniferas,1970,TINTAS,Arinarnoa,-
Viniferas,1970,TINTAS,Aspirant Bouschet,-
Viniferas,1970,TINTAS,Barbera,4.548.313
Viniferas,1970,TINTAS,Bonarda,1.631.610
Viniferas,1970,TINTAS,Cabernet Franc,238.837
Viniferas,1970,TINTAS,Cabernet Sauvignon,-
Viniferas,1970,TINTAS,Caladoc,-
Viniferas,1970,TINTAS,Campanario,-
Viniferas,1970,TINTAS,Canaiolo,596.766
Viniferas,1970,TINTAS,Carignan,-
Viniferas,1970,TINTAS,Carmenere,1.235
Viniferas,1970,TINTAS,Castelão,-
Viniferas,1970,TINTAS,Corvina,-
Viniferas,1970,TINTAS,Croatina,-
Viniferas,1970,TINTAS,Cinsaut,-
Viniferas,1970,TINTAS,Dom Felder,-
Viniferas,1970,TINTAS,Dolcetto,-
Viniferas,1970,TINTAS,Durif,-
Viniferas,1970,TINTAS,Egiodola,-
Viniferas,1970,TINTAS,Ekigaina,-
Viniferas,1970,TINTAS,Festival (Sugraone),-
Viniferas,1970,TINTAS,Franconia,-
Viniferas,1970,TINTAS,Freisa,1.661
Viniferas,1970,TINTAS,Gamay St Romain,-
Viniferas,1970,TINTAS,Gamay Beaujolais,-
Viniferas,1970,TINTAS,Grand Noir,-
Viniferas,1970,TINTAS,Grenache,19.753
Viniferas,1970,TINTAS,Jaen,-
Viniferas,1970,TINTAS,Lagrein,-
Viniferas,1970,TINTAS,Lambrusco,2.259
Viniferas,1970,TINTAS,Malbec,4.097
Viniferas,1970,TINTAS,Marzemina,62.546
Viniferas,1970,TINTAS,Merlot,185.596
Viniferas,1970,TINTAS,Marselan,-
Viniferas,1970,TINTAS,Mistura de uvas viníferas tinto,-
Viniferas,1970,TINTAS,Molinera,-
Viniferas,1970,TINTAS,Montepulciano,-
Viniferas,1970,TINTAS,Moscato Bailey,-
Viniferas,1970,TINTAS,Napa Gamay,-
Viniferas,1970,TINTAS,Nebbiolo,-
Viniferas,1970,TINTAS,Petit Verdot,-
Viniferas,1970,TINTAS,Petite Sirah,-
Viniferas,1970,TINTAS,Pinotage,-
Viniferas,1970,TINTAS,Pinot Noir,-
Viniferas,1970,TINTAS,Pinot Saint George,-
Viniferas,1970,TINTAS,Piriquita,-
Viniferas,1970,TINTAS,Primitivo,-
Viniferas,1970,TINTAS,Rebo,-
Viniferas,1970,TINTAS,Refosco,-
Viniferas,1970,TINTAS,Rondinella,-
Viniferas,1970,TINTAS,Ruby Cabernet,-
Viniferas,1970,TINTAS,Sangiovese,27.566
Viniferas,1970,TINTAS,Saperavi,-
Viniferas,1970,TINTAS,Sira (falsa),3.127.989
Viniferas,1970,TINTAS,Tannat,-
Viniferas,1970,TINTAS,Tempranillo,-
Viniferas,1970,TINTAS,Teroldego,-
Viniferas,1970,TINTAS,Torrontes,-
Viniferas,1970,TINTAS,Tinta Barroca,-
Viniferas,1970,TINTAS,Tinta Roriz,-
Viniferas,1970,TINTAS,Touriga Francesa,-
Viniferas,1970,TINTAS,Touriga Nacional,-
Viniferas,1970,TINTAS,Tinta Madeira,-
Viniferas,1970,TINTAS,Tintoria,-
Viniferas,1970,TINTAS,Trincdeira,-
Viniferas,1970,TINTAS,Trousseau,-
Viniferas,1970,TINTAS,Zinfandel,-
Viniferas,1970,TINTAS,Outras1,-
Viniferas,1970,BRANCAS E ROSADAS,-,18.858.541
Viniferas,1970,BRANCAS E ROSADAS,Aliatico,-
Viniferas,1970,BRANCAS E ROSADAS,Aligote,530
Viniferas,1970,BRANCAS E ROSADAS,Altesse,-
Viniferas,1970,BRANCAS E ROSADAS,Alvarinho,-
Viniferas,1970,BRANCAS E ROSADAS,Arriloba,-
Viniferas,1970,BRANCAS E ROSADAS,Auxerrois,-
Viniferas,1970,BRANCAS E ROSADAS,Burger,-
Viniferas,1970,BRANCAS E ROSADAS,Chardonnay,-
Viniferas,1970,BRANCAS E ROSADAS,Chasselas,-
Viniferas,1970,BRANCAS E ROSADAS,Chenin Blanc,-
Viniferas,1970,BRANCAS E ROSADAS,Clairette(1),146.617
Viniferas,1970,BRANCAS E ROSADAS,Colombard,-
Viniferas,1970,BRANCAS E ROSADAS,Flora,-
Viniferas,1970,BRANCAS E ROSADAS,Garganega,-
Viniferas,1970,BRANCAS E ROSADAS,Gewurztraminer,-
Viniferas,1970,BRANCAS E ROSADAS,Gouveio,-
Viniferas,1970,BRANCAS E ROSADAS,Gros Manseng,-
Viniferas,1970,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),-
Viniferas,1970,BRANCAS E ROSADAS,Maccabeo,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia,878.012
Viniferas,1970,BRANCAS E ROSADAS,Malvasia Amarela,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia Bianca,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia Chianti,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia Verde,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia di Candia,-
Viniferas,1970,BRANCAS E ROSADAS,Malvasia Istriana,-
Viniferas,1970,BRANCAS E ROSADAS,Mistura de uvas viníferas branco,-
Viniferas,1970,BRANCAS E ROSADAS,Mistura de uvas viníferas rosado,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato Branco,5.772.931
Viniferas,1970,BRANCAS E ROSADAS,Moscato Canelli,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato Giallo,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato Nazareno,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato Bianco R2,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato de Alexandria,-
Viniferas,1970,BRANCAS E ROSADAS,Moscato Rosado,-
Viniferas,1970,BRANCAS E ROSADAS,Muscat à Petits Grains,-
Viniferas,1970,BRANCAS E ROSADAS,Muller Thurgau,-
Viniferas,1970,BRANCAS E ROSADAS,Muscadelle,-
Viniferas,1970,BRANCAS E ROSADAS,Ora,-
Viniferas,1970,BRANCAS E ROSADAS,Palomino,-
Viniferas,1970,BRANCAS E ROSADAS,Petit Manseng,-
Viniferas,1970,BRANCAS E ROSADAS,Peverella,2.084.128
Viniferas,1970,BRANCAS E ROSADAS,Pinot Blanc,4.000
Viniferas,1970,BRANCAS E ROSADAS,Pinot Gris,-
Viniferas,1970,BRANCAS E ROSADAS,Prosecco,-
Viniferas,1970,BRANCAS E ROSADAS,Red Veltliner,-
Viniferas,1970,BRANCAS E ROSADAS,Riesling Italico,413.149
Viniferas,1970,BRANCAS E ROSADAS,Riesling Renano,-
Viniferas,1970,BRANCAS E ROSADAS,Sauvignon Blanc(2),2.819
Viniferas,1970,BRANCAS E ROSADAS,Sauvignon Gris,-
Viniferas,1970,BRANCAS E ROSADAS,Seara Nova,-
Viniferas,1970,BRANCAS E ROSADAS,Semillon,1.916
Viniferas,1970,BRANCAS E ROSADAS,Schonburger,-
Viniferas,1970,BRANCAS E ROSADAS,Sylvaner,-
Viniferas,1970,BRANCAS E ROSADAS,Tocai Friulano,-
Viniferas,1970,BRANCAS E ROSADAS,Trebbiano,7.277.270
Viniferas,1970,BRANCAS E ROSADAS,Trebbiano Toscano,-
Viniferas,1970,BRANCAS E ROSADAS,Verdea,-
Viniferas,1970,BRANCAS E ROSADAS,Verdelho,-
Viniferas,1970,BRANCAS E ROSADAS,Verdiso,7.950
Viniferas,1970,BRANCAS E ROSADAS,Vermentino,20.461
Viniferas,1970,BRANCAS E ROSADAS,Vernaccia,122.467
Viniferas,1970,BRANCAS E ROSADAS,Viogner,-
Viniferas,1970,BRANCAS E ROSADAS,Viognier,-
Viniferas,1970,BRANCAS E ROSADAS,Outras(3),2.126.291
Viniferas,1971,TINTAS,-,11.012.833
Viniferas,1971,TINTAS,Alicante Bouschet,-
Viniferas,1971,TINTAS,Ancelota,-
Viniferas,1971,TINTAS,Aramon,-
Viniferas,1971,TINTAS,Alfrocheiro,-
Viniferas,1971,TINTAS,Arinarnoa,-
Viniferas,1971,TINTAS,Aspirant Bouschet,-
Viniferas,1971,TINTAS,Barbera,3.971.627
Viniferas,1971,TINTAS,Bonarda,1.868.929
Viniferas,1971,TINTAS,Cabernet Franc,324.924
Viniferas,1971,TINTAS,Cabernet Sauvignon,-
Viniferas,1971,TINTAS,Caladoc,-
Viniferas,1971,TINTAS,Campanario,-
Viniferas,1971,TINTAS,Canaiolo,607.921
Viniferas,1971,TINTAS,Carignan,11.796
Viniferas,1971,TINTAS,Carmenere,18.288
Viniferas,1971,TINTAS,Castelão,-
Viniferas,1971,TINTAS,Corvina,-
Viniferas,1971,TINTAS,Croatina,-
Viniferas,1971,TINTAS,Cinsaut,-
Viniferas,1971,TINTAS,Dom Felder,-
Viniferas,1971,TINTAS,Dolcetto,-
Viniferas,1971,TINTAS,Durif,-
Viniferas,1971,TINTAS,Egiodola,-
Viniferas,1971,TINTAS,Ekigaina,-
Viniferas,1971,TINTAS,Festival (Sugraone),-
Viniferas,1971,TINTAS,Franconia,-
Viniferas,1971,TINTAS,Freisa,1.519
Viniferas,1971,TINTAS,Gamay St Romain,-
Viniferas,1971,TINTAS,Gamay Beaujolais,-
Viniferas,1971,TINTAS,Grand Noir,930
Viniferas,1971,TINTAS,Grenache,22.418
Viniferas,1971,TINTAS,Jaen,-
Viniferas,1971,TINTAS,Lagrein,-
Viniferas,1971,TINTAS,Lambrusco,2.670
Viniferas,1971,TINTAS,Malbec,4.884
Viniferas,1971,TINTAS,Marzemina,66.569
Viniferas,1971,TINTAS,Merlot,164.533
Viniferas,1971,TINTAS,Marselan,-
Viniferas,1971,TINTAS,Mistura de uvas viníferas tinto,-
Viniferas,1971,TINTAS,Molinera,-
Viniferas,1971,TINTAS,Montepulciano,-
Viniferas,1971,TINTAS,Moscato Bailey,-
Viniferas,1971,TINTAS,Napa Gamay,-
Viniferas,1971,TINTAS,Nebbiolo,-
Viniferas,1971,TINTAS,Petit Verdot,-
Viniferas,1971,TINTAS,Petite Sirah,-
Viniferas,1971,TINTAS,Pinotage,-
Viniferas,1971,TINTAS,Pinot Noir,-
Viniferas,1971,TINTAS,Pinot Saint George,-
Viniferas,1971,TINTAS,Piriquita,-
Viniferas,1971,TINTAS,Primitivo,-
Viniferas,1971,TINTAS,Rebo,-
Viniferas,1971,TINTAS,Refosco,-
Viniferas,1971,TINTAS,Rondinella,-
Viniferas,1971,TINTAS,Ruby Cabernet,-
Viniferas,1971,TINTAS,Sangiovese,59.316
Viniferas,1971,TINTAS,Saperavi,-
Viniferas,1971,TINTAS,Sira (falsa),3.886.509
Viniferas,1971,TINTAS,Tannat,-
Viniferas,1971,TINTAS,Tempranillo,-
Viniferas,1971,TINTAS,Teroldego,-
Viniferas,1971,TINTAS,Torrontes,-
Viniferas,1971,TINTAS,Tinta Barroca,-
Viniferas,1971,TINTAS,Tinta Roriz,-
Viniferas,1971,TINTAS,Touriga Francesa,-
Viniferas,1971,TINTAS,Touriga Nacional,-
Viniferas,1971,TINTAS,Tinta Madeira,-
Viniferas,1971,TINTAS,Tintoria,-
Viniferas,1971,TINTAS,Trincdeira,-
Viniferas,1971,TINTAS,Trousseau,-
Viniferas,1971,TINTAS,Zinfandel,-
Viniferas,1971,TINTAS,Outras1,-
Viniferas,1971,BRANCAS E ROSADAS,-,22.168.237
Viniferas,1971,BRANCAS E ROSADAS,Aliatico,-
Viniferas,1971,BRANCAS E ROSADAS,Aligote,1.000
Viniferas,1971,BRANCAS E ROSADAS,Altesse,-
Viniferas,1971,BRANCAS E ROSADAS,Alvarinho,-
Viniferas,1971,BRANCAS E ROSADAS,Arriloba,-
Viniferas,1971,BRANCAS E ROSADAS,Auxerrois,-
Viniferas,1971,BRANCAS E ROSADAS,Burger,-
Viniferas,1971,BRANCAS E ROSADAS,Chardonnay,-
Viniferas,1971,BRANCAS E ROSADAS,Chasselas,-
Viniferas,1971,BRANCAS E ROSADAS,Chenin Blanc,-
Viniferas,1971,BRANCAS E ROSADAS,Clairette(1),116.887
Viniferas,1971,BRANCAS E ROSADAS,Colombard,-
Viniferas,1971,BRANCAS E ROSADAS,Flora,-
Viniferas,1971,BRANCAS E ROSADAS,Garganega,-
Viniferas,1971,BRANCAS E ROSADAS,Gewurztraminer,-
Viniferas,1971,BRANCAS E ROSADAS,Gouveio,-
Viniferas,1971,BRANCAS E ROSADAS,Gros Manseng,-
Viniferas,1971,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),-
Viniferas,1971,BRANCAS E ROSADAS,Maccabeo,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia,611.457
Viniferas,1971,BRANCAS E ROSADAS,Malvasia Amarela,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia Bianca,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia Chianti,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia Verde,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia di Candia,-
Viniferas,1971,BRANCAS E ROSADAS,Malvasia Istriana,-
Viniferas,1971,BRANCAS E ROSADAS,Mistura de uvas viníferas branco,-
Viniferas,1971,BRANCAS E ROSADAS,Mistura de uvas viníferas rosado,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato Branco,5.334.475
Viniferas,1971,BRANCAS E ROSADAS,Moscato Canelli,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato Giallo,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato Nazareno,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato Bianco R2,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato de Alexandria,-
Viniferas,1971,BRANCAS E ROSADAS,Moscato Rosado,-
Viniferas,1971,BRANCAS E ROSADAS,Muscat à Petits Grains,-
Viniferas,1971,BRANCAS E ROSADAS,Muller Thurgau,-
Viniferas,1971,BRANCAS E ROSADAS,Muscadelle,-
Viniferas,1971,BRANCAS E ROSADAS,Ora,-
Viniferas,1971,BRANCAS E ROSADAS,Palomino,-
Viniferas,1971,BRANCAS E ROSADAS,Petit Manseng,-
Viniferas,1971,BRANCAS E ROSADAS,Peverella,2.117.931
Viniferas,1971,BRANCAS E ROSADAS,Pinot Blanc,-
Viniferas,1971,BRANCAS E ROSADAS,Pinot Gris,-
Viniferas,1971,BRANCAS E ROSADAS,Prosecco,-
Viniferas,1971,BRANCAS E ROSADAS,Red Veltliner,-
Viniferas,1971,BRANCAS E ROSADAS,Riesling Italico,404.159
Viniferas,1971,BRANCAS E ROSADAS,Riesling Renano,-
Viniferas,1971,BRANCAS E ROSADAS,Sauvignon Blanc(2),5.492
Viniferas,1971,BRANCAS E ROSADAS,Sauvignon Gris,-
Viniferas,1971,BRANCAS E ROSADAS,Seara Nova,-
Viniferas,1971,BRANCAS E ROSADAS,Semillon,-
Viniferas,1971,BRANCAS E ROSADAS,Schonburger,-
Viniferas,1971,BRANCAS E ROSADAS,Sylvaner,-
Viniferas,1971,BRANCAS E ROSADAS,Tocai Friulano,-
Viniferas,1971,BRANCAS E ROSADAS,Trebbiano,12.225.175
Viniferas,1971,BRANCAS E ROSADAS,Trebbiano Toscano,-
Viniferas,1971,BRANCAS E ROSADAS,Verdea,6.184
Viniferas,1971,BRANCAS E ROSADAS,Verdelho,-
Viniferas,1971,BRANCAS E ROSADAS,Verdiso,770
Viniferas,1971,BRANCAS E ROSADAS,Vermentino,6.097
Viniferas,1971,BRANCAS E ROSADAS,Vernaccia,190.297
Viniferas,1971,BRANCAS E ROSADAS,Viogner,-
Viniferas,1971,BRANCAS E ROSADAS,Viognier,-
Viniferas,1971,BRANCAS E ROSADAS,Outras(3),1.148.313
Viniferas,1972,TINTAS,-,10.798.824
Viniferas,1972,TINTAS,Alicante Bouschet,-
Viniferas,1972,TINTAS,Ancelota,-
Viniferas,1972,TINTAS,Aramon,-
Viniferas,1972,TINTAS,Alfrocheiro,-
Viniferas,1972,TINTAS,Arinarnoa,-
Viniferas,1972,TINTAS,Aspirant Bouschet,-
Viniferas,1972,TINTAS,Barbera,4.035.482
Viniferas,1972,TINTAS,Bonarda,1.875.069
Viniferas,1972,TINTAS,Cabernet Franc,572.871
Viniferas,1972,TINTAS,Cabernet Sauvignon,-
Viniferas,1972,TINTAS,Caladoc,-
Viniferas,1972,TINTAS,Campanario,-
Viniferas,1972,TINTAS,Canaiolo,552.841
Viniferas,1972,TINTAS,Carignan,7.537
Viniferas,1972,TINTAS,Carmenere,22.154
Viniferas,1972,TINTAS,Castelão,-
Viniferas,1972,TINTAS,Corvina,-
Viniferas,1972,TINTAS,Croatina,-
Viniferas,1972,TINTAS,Cinsaut,-
Viniferas,1972,TINTAS,Dom Felder,-
Viniferas,1972,TINTAS,Dolcetto,-
Viniferas,1972,TINTAS,Durif,-
Viniferas,1972,TINTAS,Egiodola,-
Viniferas,1972,TINTAS,Ekigaina,-
Viniferas,1972,TINTAS,Festival (Sugraone),-
Viniferas,1972,TINTAS,Franconia,-
Viniferas,1972,TINTAS,Freisa,1.005
Viniferas,1972,TINTAS,Gamay St Romain,189
Viniferas,1972,TINTAS,Gamay Beaujolais,-
Viniferas,1972,TINTAS,Grand Noir,603
Viniferas,1972,TINTAS,Grenache,18.488
Viniferas,1972,TINTAS,Jaen,-
Viniferas,1972,TINTAS,Lagrein,-
Viniferas,1972,TINTAS,Lambrusco,100
Viniferas,1972,TINTAS,Malbec,-
Viniferas,1972,TINTAS,Marzemina,138.699
Viniferas,1972,TINTAS,Merlot,198.870
Viniferas,1972,TINTAS,Marselan,-
Viniferas,1972,TINTAS,Mistura de uvas viníferas tinto,-
Viniferas,1972,TINTAS,Molinera,-
Viniferas,1972,TINTAS,Montepulciano,-
Viniferas,1972,TINTAS,Moscato Bailey,-
Viniferas,1972,TINTAS,Napa Gamay,-
Viniferas,1972,TINTAS,Nebbiolo,-
Viniferas,1972,TINTAS,Petit Verdot,-
Viniferas,1972,TINTAS,Petite Sirah,-
Viniferas,1972,TINTAS,Pinotage,-
Viniferas,1972,TINTAS,Pinot Noir,13.440
Viniferas,1972,TINTAS,Pinot Saint George,-
Viniferas,1972,TINTAS,Piriquita,-
Viniferas,1972,TINTAS,Primitivo,-
Viniferas,1972,TINTAS,Rebo,-
Viniferas,1972,TINTAS,Refosco,-
Viniferas,1972,TINTAS,Rondinella,-
Viniferas,1972,TINTAS,Ruby Cabernet,-
Viniferas,1972,TINTAS,Sangiovese,62.175
Viniferas,1972,TINTAS,Saperavi,-
Viniferas,1972,TINTAS,Sira (falsa),3.299.301
Viniferas,1972,TINTAS,Tannat,-
Viniferas,1972,TINTAS,Tempranillo,-
Viniferas,1972,TINTAS,Teroldego,-
Viniferas,1972,TINTAS,Torrontes,-
Viniferas,1972,TINTAS,Tinta Barroca,-
Viniferas,1972,TINTAS,Tinta Roriz,-
Viniferas,1972,TINTAS,Touriga Francesa,-
Viniferas,1972,TINTAS,Touriga Nacional,-
Viniferas,1972,TINTAS,Tinta Madeira,-
Viniferas,1972,TINTAS,Tintoria,-
Viniferas,1972,TINTAS,Trincdeira,-
Viniferas,1972,TINTAS,Trousseau,-
Viniferas,1972,TINTAS,Zinfandel,-
Viniferas,1972,TINTAS,Outras1,-
Viniferas,1972,BRANCAS E ROSADAS,-,18.073.470
Viniferas,1972,BRANCAS E ROSADAS,Aliatico,-
Viniferas,1972,BRANCAS E ROSADAS,Aligote,1.969
Viniferas,1972,BRANCAS E ROSADAS,Altesse,-
Viniferas,1972,BRANCAS E ROSADAS,Alvarinho,-
Viniferas,1972,BRANCAS E ROSADAS,Arriloba,-
Viniferas,1972,BRANCAS E ROSADAS,Auxerrois,-
Viniferas,1972,BRANCAS E ROSADAS,Burger,-
Viniferas,1972,BRANCAS E ROSADAS,Chardonnay,-
Viniferas,1972,BRANCAS E ROSADAS,Chasselas,13.255
Viniferas,1972,BRANCAS E ROSADAS,Chenin Blanc,-
Viniferas,1972,BRANCAS E ROSADAS,Clairette(1),120.166
Viniferas,1972,BRANCAS E ROSADAS,Colombard,-
Viniferas,1972,BRANCAS E ROSADAS,Flora,-
Viniferas,1972,BRANCAS E ROSADAS,Garganega,-
Viniferas,1972,BRANCAS E ROSADAS,Gewurztraminer,-
Viniferas,1972,BRANCAS E ROSADAS,Gouveio,-
Viniferas,1972,BRANCAS E ROSADAS,Gros Manseng,-
Viniferas,1972,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),-
Viniferas,1972,BRANCAS E ROSADAS,Maccabeo,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia,763.732
Viniferas,1972,BRANCAS E ROSADAS,Malvasia Amarela,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia Bianca,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia Chianti,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia Verde,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia di Candia,-
Viniferas,1972,BRANCAS E ROSADAS,Malvasia Istriana,-
Viniferas,1972,BRANCAS E ROSADAS,Mistura de uvas viníferas branco,-
Viniferas,1972,BRANCAS E ROSADAS,Mistura de uvas viníferas rosado,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato Branco,5.378.768
Viniferas,1972,BRANCAS E ROSADAS,Moscato Canelli,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato Giallo,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato Nazareno,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato Bianco R2,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato de Alexandria,-
Viniferas,1972,BRANCAS E ROSADAS,Moscato Rosado,-
Viniferas,1972,BRANCAS E ROSADAS,Muscat à Petits Grains,-
Viniferas,1972,BRANCAS E ROSADAS,Muller Thurgau,-
Viniferas,1972,BRANCAS E ROSADAS,Muscadelle,-
Viniferas,1972,BRANCAS E ROSADAS,Ora,-
Viniferas,1972,BRANCAS E ROSADAS,Palomino,-
Viniferas,1972,BRANCAS E ROSADAS,Petit Manseng,-
Viniferas,1972,BRANCAS E ROSADAS,Peverella,1.087.692
Viniferas,1972,BRANCAS E ROSADAS,Pinot Blanc,-
Viniferas,1972,BRANCAS E ROSADAS,Pinot Gris,-
Viniferas,1972,BRANCAS E ROSADAS,Prosecco,-
Viniferas,1972,BRANCAS E ROSADAS,Red Veltliner,-
Viniferas,1972,BRANCAS E ROSADAS,Riesling Italico,304.688
Viniferas,1972,BRANCAS E ROSADAS,Riesling Renano,-
Viniferas,1972,BRANCAS E ROSADAS,Sauvignon Blanc(2),49.244
Viniferas,1972,BRANCAS E ROSADAS,Sauvignon Gris,-
Viniferas,1972,BRANCAS E ROSADAS,Seara Nova,-
Viniferas,1972,BRANCAS E ROSADAS,Semillon,5.172
Viniferas,1972,BRANCAS E ROSADAS,Schonburger,-
Viniferas,1972,BRANCAS E ROSADAS,Sylvaner,-
Viniferas,1972,BRANCAS E ROSADAS,Tocai Friulano,-
Viniferas,1972,BRANCAS E ROSADAS,Trebbiano,9.579.813
Viniferas,1972,BRANCAS E ROSADAS,Trebbiano Toscano,-
Viniferas,1972,BRANCAS E ROSADAS,Verdea,-
Viniferas,1972,BRANCAS E ROSADAS,Verdelho,-
Viniferas,1972,BRANCAS E ROSADAS,Verdiso,-
Viniferas,1972,BRANCAS E ROSADAS,Vermentino,8.945
Viniferas,1972,BRANCAS E ROSADAS,Vernaccia,111.691
Viniferas,1972,BRANCAS E ROSADAS,Viogner,-
Viniferas,1972,BRANCAS E ROSADAS,Viognier,-
Viniferas,1972,BRANCAS E ROSADAS,Outras(3),648.335
Viniferas,1973,TINTAS,-,8.213.674
Viniferas,1973,TINTAS,Alicante Bouschet,-
Viniferas,1973,TINTAS,Ancelota,-
Viniferas,1973,TINTAS,Aramon,-
Viniferas,1973,TINTAS,Alfrocheiro,-
Viniferas,1973,TINTAS,Arinarnoa,-
Viniferas,1973,TINTAS,Aspirant Bouschet,-
Viniferas,1973,TINTAS,Barbera,3.152.247
Viniferas,1973,TINTAS,Bonarda,885.582
Viniferas,1973,TINTAS,Cabernet Franc,1.360.672
Viniferas,1973,TINTAS,Cabernet Sauvignon,-
Viniferas,1973,TINTAS,Caladoc,-
Viniferas,1973,TINTAS,Campanario,-
Viniferas,1973,TINTAS,Canaiolo,257.854
Viniferas,1973,TINTAS,Carignan,5.693
Viniferas,1973,TINTAS,Carmenere,4.150
Viniferas,1973,TINTAS,Castelão,-
Viniferas,1973,TINTAS,Corvina,-
Viniferas,1973,TINTAS,Croatina,-
Viniferas,1973,TINTAS,Cinsaut,-
Viniferas,1973,TINTAS,Dom Felder,-
Viniferas,1973,TINTAS,Dolcetto,-
Viniferas,1973,TINTAS,Durif,-
Viniferas,1973,TINTAS,Egiodola,-
Viniferas,1973,TINTAS,Ekigaina,-
Viniferas,1973,TINTAS,Festival (Sugraone),-
Viniferas,1973,TINTAS,Franconia,-
Viniferas,1973,TINTAS,Freisa,-
Viniferas,1973,TINTAS,Gamay St Romain,-
Viniferas,1973,TINTAS,Gamay Beaujolais,-
Viniferas,1973,TINTAS,Grand Noir,-
Viniferas,1973,TINTAS,Grenache,4.924
Viniferas,1973,TINTAS,Jaen,-
Viniferas,1973,TINTAS,Lagrein,-
Viniferas,1973,TINTAS,Lambrusco,-
Viniferas,1973,TINTAS,Malbec,200
Viniferas,1973,TINTAS,Marzemina,49.930
Viniferas,1973,TINTAS,Merlot,263.765
Viniferas,1973,TINTAS,Marselan,-
Viniferas,1973,TINTAS,Mistura de uvas viníferas tinto,-
Viniferas,1973,TINTAS,Molinera,-
Viniferas,1973,TINTAS,Montepulciano,-
Viniferas,1973,TINTAS,Moscato Bailey,-
Viniferas,1973,TINTAS,Napa Gamay,-
Viniferas,1973,TINTAS,Nebbiolo,-
Viniferas,1973,TINTAS,Petit Verdot,-
Viniferas,1973,TINTAS,Petite Sirah,-
Viniferas,1973,TINTAS,Pinotage,-
Viniferas,1973,TINTAS,Pinot Noir,10.433
Viniferas,1973,TINTAS,Pinot Saint George,-
Viniferas,1973,TINTAS,Piriquita,-
Viniferas,1973,TINTAS,Primitivo,-
Viniferas,1973,TINTAS,Rebo,-
Viniferas,1973,TINTAS,Refosco,-
Viniferas,1973,TINTAS,Rondinella,-
Viniferas,1973,TINTAS,Ruby Cabernet,-
Viniferas,1973,TINTAS,Sangiovese,38.315
Viniferas,1973,TINTAS,Saperavi,-
Viniferas,1973,TINTAS,Sira (falsa),2.179.909
Viniferas,1973,TINTAS,Tannat,-
Viniferas,1973,TINTAS,Tempranillo,-
Viniferas,1973,TINTAS,Teroldego,-
Viniferas,1973,TINTAS,Torrontes,-
Viniferas,1973,TINTAS,Tinta Barroca,-
Viniferas,1973,TINTAS,Tinta Roriz,-
Viniferas,1973,TINTAS,Touriga Francesa,-
Viniferas,1973,TINTAS,Touriga Nacional,-
Viniferas,1973,TINTAS,Tinta Madeira,-
Viniferas,1973,TINTAS,Tintoria,-
Viniferas,1973,TINTAS,Trincdeira,-
Viniferas,1973,TINTAS,Trousseau,-
Viniferas,1973,TINTAS,Zinfandel,-
Viniferas,1973,TINTAS,Outras1,-
Viniferas,1973,BRANCAS E ROSADAS,-,12.213.901
Viniferas,1973,BRANCAS E ROSADAS,Aliatico,-
Viniferas,1973,BRANCAS E ROSADAS,Aligote,-
Viniferas,1973,BRANCAS E ROSADAS,Altesse,-
Viniferas,1973,BRANCAS E ROSADAS,Alvarinho,-
Viniferas,1973,BRANCAS E ROSADAS,Arriloba,-
Viniferas,1973,BRANCAS E ROSADAS,Auxerrois,-
